"Chain-Type Price Indexes for Value Added by Industry"
"[2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: September 30, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Line","","","","","","","","","","","","","","","","","","","","",""
"80","            Social assistance",59.585,62.467,65.325,69.264,71.948,75.699,77.303,79.137,82.233,85.877,88.904,91.114,93.804,95.590,97.670,100.000,103.482,105.831,109.551,113.828
"81","    Arts, entertainment, recreation, accommodation, and food services",61.661,64.057,66.777,68.760,71.927,74.108,75.495,77.120,80.242,83.004,87.055,90.599,94.490,94.857,95.798,100.000,102.640,105.075,110.036,114.442
"82","        Arts, entertainment, and recreation",63.382,65.491,68.878,71.818,74.316,76.351,78.857,81.020,84.060,87.027,90.619,93.310,95.537,95.759,96.898,100.000,101.633,103.639,107.879,111.589
"83","            Performing arts, spectator sports, museums, and related activities",59.048,60.672,64.999,68.899,71.673,73.593,76.307,79.294,83.128,86.507,90.689,93.882,96.031,97.136,97.697,100.000,101.624,103.759,108.062,112.122
"84","            Amusements, gambling, and recreation industries",68.554,71.201,73.560,75.469,77.658,79.841,82.060,83.126,85.152,87.591,90.437,92.494,94.828,93.848,95.766,100.000,101.645,103.466,107.617,110.836
"85","        Accommodation and food services",61.026,63.519,66.014,67.683,71.058,73.282,74.306,75.755,78.898,81.590,85.785,89.613,94.097,94.518,95.384,100.000,103.024,105.621,110.851,115.511
"86","            Accommodation",65.336,68.477,71.906,74.041,78.136,78.610,79.085,80.174,85.396,88.779,94.027,96.896,95.388,94.357,95.908,100.000,102.729,106.219,109.761,113.500
"87","            Food services and drinking places",59.414,61.642,63.756,65.235,68.324,71.223,72.457,74.044,76.376,78.799,82.582,86.799,93.605,94.577,95.174,100.000,103.143,105.383,111.287,116.312
"88","    Other services, except government",57.263,59.371,61.865,64.847,68.238,71.262,73.028,75.508,78.366,81.575,84.898,88.105,92.594,94.807,97.153,100.000,103.169,105.933,109.483,112.865
"89","Government",60.513,62.206,64.621,66.906,69.711,72.498,75.400,78.529,81.580,84.990,88.635,91.312,94.178,96.575,98.220,100.000,103.181,106.157,109.208,110.208
"90","    Federal",62.789,63.872,65.825,67.886,69.886,73.659,77.915,80.646,83.991,87.314,90.571,92.706,94.757,97.353,99.270,100.000,100.938,103.289,105.368,106.146
"91","        General government",61.897,63.177,65.222,67.767,69.437,73.316,78.042,81.295,85.335,88.422,91.643,93.854,94.722,97.257,99.320,100.000,100.987,103.080,104.852,105.960
"92","            National defense",60.732,62.018,63.875,66.337,68.140,72.175,77.475,80.663,85.194,88.727,92.094,94.435,94.719,96.958,98.973,100.000,100.410,102.169,103.868,104.743
"93","            Nondefense",63.736,65.001,67.363,70.043,71.498,75.131,78.954,82.310,85.556,87.927,90.913,92.916,94.725,97.737,99.877,100.000,101.900,104.512,106.395,107.846
"94","        Government enterprises",66.060,65.912,67.263,66.495,70.390,73.381,74.530,73.838,72.591,77.397,80.829,82.337,95.228,98.459,98.647,100.000,100.265,106.283,112.444,109.189
"95","    State and local",59.410,61.399,64.032,66.419,69.588,71.933,74.226,77.534,80.451,83.898,87.717,90.641,93.889,96.190,97.701,100.000,104.276,107.552,111.070,112.176
"96","        General government",58.934,60.787,63.666,66.450,69.499,71.890,74.467,77.957,81.018,84.474,88.413,91.709,93.432,96.146,97.775,100.000,104.327,107.276,109.974,111.055
"97","        Government enterprises",63.211,66.709,66.468,64.469,68.862,70.634,69.729,70.990,72.281,75.550,77.972,76.720,99.928,96.812,96.864,100.000,103.718,110.523,123.408,124.802
"","    Addenda:","","","","","","","","","","","","","","","","","","","",""
"98","            Private goods-producing industries1",78.510,78.193,78.062,78.481,79.208,78.589,80.340,82.468,86.870,89.047,91.654,94.380,90.548,93.123,98.191,100.000,101.474,102.499,98.429,96.900
"99","            Private services-producing industries2",74.172,75.348,76.570,78.507,80.518,81.903,83.368,85.495,87.537,90.131,92.651,94.085,95.636,96.499,97.853,100.000,102.003,103.936,106.072,107.833
"100","            Information-communications-technology-producing industries3",217.992,195.359,178.900,165.266,152.887,146.928,138.920,131.247,124.262,118.265,113.061,108.091,106.095,102.648,101.223,100.000,99.544,98.114,95.429,92.932
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
