"Components of Value Added by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 22, 2021"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"75","                Taxes on production and imports less subsidies",3.5,3.8,4.1,4.6,5.4,5.6,5.7,5.8,6.1,6.3,6.8,7.0,7.2,7.2,7.1,7.1,7.6,8.1,8.5,8.1
"76","                Gross operating surplus",82.1,69.5,54.0,71.1,31.8,47.2,71.9,76.0,81.8,88.1,89.7,97.1,97.7,109.5,101.9,103.5,108.9,111.2,121.4,117.3
"77","            Electrical equipment, appliances, and components",46.9,40.6,44.6,45.7,44.3,43.7,45.5,42.1,43.2,51.4,50.3,55.5,50.6,50.8,48.3,52.2,58.1,54.4,63.7,58.5
"78","                Compensation of employees",27.0,28.1,29.5,31.3,30.0,28.0,27.7,28.6,29.1,30.3,31.0,30.9,28.6,29.2,30.6,31.9,33.0,33.6,34.7,35.0
"79","                Taxes on production and imports less subsidies",0.8,0.8,0.8,0.9,1.0,1.1,1.1,1.0,1.2,1.1,1.1,1.0,0.8,0.2,0.0,0.3,0.7,0.8,0.9,0.9
"80","                Gross operating surplus",19.1,11.7,14.3,13.5,13.2,14.6,16.8,12.5,12.9,20.0,18.1,23.6,21.3,21.4,17.7,20.0,24.4,20.0,28.1,22.6
"81","            Motor vehicles, bodies and trailers, and parts",112.0,123.9,134.8,137.5,124.9,135.2,143.1,139.1,135.9,134.0,125.0,90.3,47.8,88.8,104.5,115.8,123.1,132.8,146.3,155.5
"82","                Compensation of employees",63.3,71.4,77.2,80.2,73.4,73.8,75.6,76.2,75.4,75.4,72.5,63.7,48.0,48.6,52.5,56.8,59.3,64.7,69.9,72.4
"83","                Taxes on production and imports less subsidies",1.6,1.8,1.9,2.0,2.3,2.4,2.6,2.7,2.8,2.9,2.9,3.0,2.9,2.9,2.9,2.9,3.1,3.3,3.4,3.5
"84","                Gross operating surplus",47.0,50.7,55.7,55.3,49.3,59.0,65.0,60.1,57.8,55.7,49.6,23.7,-3.1,37.3,49.0,56.0,60.7,64.8,73.1,79.5
"85","            Other transportation equipment",62.5,66.8,73.8,71.1,76.9,73.0,72.6,75.8,89.7,96.3,114.3,114.6,117.4,120.8,127.2,126.9,133.4,139.4,149.2,148.4
"86","                Compensation of employees",46.6,50.0,51.0,50.5,51.4,50.8,51.1,56.1,57.1,61.8,65.8,68.3,66.8,66.5,69.2,71.5,73.9,75.7,77.8,77.3
"87","                Taxes on production and imports less subsidies",1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.2,2.2,2.4,2.3,2.3,2.3,2.3,2.4,2.5,2.6
"88","                Gross operating surplus",14.8,15.6,21.5,19.2,23.9,20.5,19.8,18.0,30.7,32.4,46.3,44.1,48.2,51.9,55.7,53.1,57.2,61.3,68.9,68.5
"89","            Furniture and related products",27.9,29.7,31.7,33.5,31.2,31.2,30.4,31.0,33.7,34.5,32.5,27.9,22.8,21.8,22.0,22.4,24.0,25.8,29.2,30.3
"90","                Compensation of employees",19.6,21.3,22.7,23.9,22.9,22.5,22.4,23.2,23.6,24.0,23.8,22.2,17.7,16.7,16.8,17.3,17.9,18.7,20.3,21.0
"91","                Taxes on production and imports less subsidies",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"92","                Gross operating surplus",8.0,8.1,8.6,9.3,8.0,8.5,7.7,7.4,9.7,10.1,8.3,5.3,4.7,4.8,4.8,4.7,5.8,6.7,8.5,8.9
"93","            Miscellaneous manufacturing",52.3,55.3,57.7,59.2,57.5,61.0,62.2,63.9,66.2,70.4,72.2,75.6,81.3,83.2,80.5,81.4,80.6,81.8,81.3,87.5
"94","                Compensation of employees",31.5,34.1,35.6,37.3,37.4,37.1,38.4,40.1,41.4,43.0,45.0,45.5,43.5,43.8,44.9,46.2,47.2,48.8,51.6,51.8
"95","                Taxes on production and imports less subsidies",0.8,0.9,0.9,0.9,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.6,1.6,1.7,1.7,3.0,2.9,3.0,1.7
"96","                Gross operating surplus",19.9,20.3,21.2,20.9,19.0,22.7,22.5,22.3,23.4,26.0,25.7,28.4,36.2,37.8,33.9,33.5,30.3,30.1,26.8,34.1
"97","        Nondurable goods",559.1,579.9,614.4,625.2,640.3,635.6,660.9,702.8,736.2,789.3,814.7,801.8,820.5,834.3,855.7,869.5,892.8,917.9,946.6,915.1
"98","            Compensation of employees",274.4,284.9,293.5,302.2,299.1,293.9,297.7,300.8,305.4,309.2,316.2,316.4,296.0,301.0,303.7,312.6,319.8,334.5,343.7,347.2
"99","            Taxes on production and imports less subsidies",25.8,26.0,26.4,28.5,29.7,31.2,32.7,34.2,36.4,37.6,38.9,39.4,49.0,50.7,53.2,53.5,55.3,54.7,55.0,55.6
"100","            Gross operating surplus",259.0,269.0,294.5,294.6,311.5,310.4,330.6,367.8,394.3,442.5,459.6,446.0,475.5,482.6,498.8,503.4,517.7,528.8,547.8,512.3
"101","            Food and beverage and tobacco products",135.2,140.0,161.8,163.2,174.1,175.6,178.9,175.8,178.6,193.8,194.2,199.3,237.7,223.5,209.8,220.1,228.5,238.9,261.9,264.7
"102","                Compensation of employees",62.6,66.6,69.4,71.9,73.5,74.8,77.6,78.9,79.9,81.2,84.3,86.1,85.5,88.1,88.1,91.9,94.4,100.1,103.5,107.6
"103","                Taxes on production and imports less subsidies",15.6,15.5,15.5,17.3,17.3,18.2,19.0,19.5,21.1,21.4,21.5,21.0,29.9,31.4,30.8,31.1,31.1,30.4,30.1,30.2
"104","                Gross operating surplus",57.0,57.9,77.0,74.0,83.3,82.6,82.3,77.3,77.6,91.2,88.4,92.2,122.3,103.9,91.0,97.1,103.0,108.4,128.4,126.8
"105","            Textile mills and textile product mills",27.4,28.1,28.5,28.0,24.9,24.0,18.7,22.2,20.7,20.1,19.3,17.8,15.1,15.6,15.1,16.0,16.8,17.8,17.9,18.6
"106","                Compensation of employees",20.3,20.7,20.6,20.4,18.5,17.6,16.8,16.5,15.6,14.8,14.4,13.5,10.9,10.9,11.0,11.2,11.5,12.1,12.0,12.0
"107","                Taxes on production and imports less subsidies",0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"108","                Gross operating surplus",6.4,6.6,7.2,6.9,5.7,5.8,1.3,5.0,4.4,4.6,4.2,3.7,3.6,4.0,3.5,4.2,4.7,5.2,5.4,6.0
"109","            Apparel and leather and allied products",25.2,23.4,22.4,22.2,19.5,18.1,15.5,14.6,13.8,12.9,11.8,11.6,9.9,10.4,10.1,10.0,10.2,9.9,9.7,9.6
"110","                Compensation of employees",18.1,17.8,16.6,15.9,14.4,12.7,12.1,11.9,11.3,11.0,10.7,10.5,8.6,8.4,8.1,8.2,8.2,8.4,8.2,8.1
"111","                Taxes on production and imports less subsidies",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"112","                Gross operating surplus",6.8,5.3,5.5,6.0,4.8,5.1,3.1,2.4,2.2,1.6,0.9,0.8,1.0,1.7,1.7,1.6,1.7,1.3,1.2,1.3
"113","            Paper products",55.4,55.9,59.4,62.2,53.5,54.1,51.0,52.7,51.7,58.0,55.7,51.4,59.2,56.4,53.8,53.2,56.5,56.8,59.7,58.4
"114","                Compensation of employees",31.7,31.9,32.7,33.2,32.6,32.0,31.8,31.3,31.3,31.1,31.4,31.2,28.5,28.9,29.2,29.1,29.4,29.8,30.2,30.0
"115","                Taxes on production and imports less subsidies",1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.7
"116","                Gross operating surplus",22.0,22.2,25.0,27.2,19.3,20.5,17.6,19.7,18.7,25.1,22.5,18.4,28.9,25.7,22.9,22.3,25.4,25.4,27.8,26.7
"117","            Printing and related support activities",37.4,39.7,42.2,43.7,42.7,42.1,42.2,42.7,44.5,46.8,47.7,45.2,39.6,39.5,38.8,38.4,39.0,39.1,40.2,41.2
"118","                Compensation of employees",32.1,33.4,34.3,35.2,34.3,32.7,32.2,32.3,32.6,33.0,33.3,32.3,27.2,26.1,25.9,25.6,25.4,25.8,26.0,26.1
"119","                Taxes on production and imports less subsidies",0.6,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.8,1.0
